x,y,z,_,_,_,u,v,w,p,q,r
0.5003145844950116,0.25031455950869175,0.4999999999345173,0.9999995990069707,-0.0005729512473276087,0.0006876914047463399,-2.8165547877902475e-5,0.03149218141633224,0.0314840533295677,-3.929554081831081e-8,-0.2291853146006256,0.2750726765981303,-0.011265162240882455
0.5006307145468603,0.2506304094244196,0.499999996753702,0.99999433740736,-0.0021633720257428508,0.0025756445922172854,-0.00010502203625211753,0.031795570883310115,0.03173792867254218,-9.406404534484381e-7,-0.4069944387299532,0.4801018760470719,-0.0194836186454699
0.5009520422255459,0.2509506307667528,0.4999999669963769,0.9999754259625184,-0.004533988408778775,0.00534261486742513,-0.00021653306285710974,0.03256046500931768,0.032383827554324174,-6.24644253953773e-6,-0.5412766254318048,0.6266896402929928,-0.0251758245214219
0.5012839539384087,0.25127983983357116,0.49999983429921807,0.9999338987351617,-0.007483991981533529,0.008721515345994505,-0.0003509905830664784,0.03393240646651416,0.03355437699040014,-2.3006256921055034e-5,-0.6387885146836616,0.7249108773046397,-0.028798442189741764
0.5016330454806508,0.2516237922993911,0.49999943629734706,0.9998630430951669,-0.010843973192390726,0.01249218098346776,-0.0004987104885259086,0.03600925693003947,0.03534585270906111,-6.12235299406431e-5,-0.7053523149246984,0.7834736463282295,-0.03074778283291791
0.5020066888949276,0.2519890491094602,0.49999850066148394,0.9997593334253151,-0.01447159765875527,0.016474928843079068,-0.0006517743383967772,0.038849721450262664,0.03782392200212914,-0.0001326793219075473,-0.7459877119245231,0.8098695905621911,-0.03136446636639853
0.5024126785653821,0.25238269585986417,0.4999966339348428,0.9996224780565003,-0.018247897333067795,0.020524850792045985,-0.0008038078549234653,0.0424806968853645,0.0410286174958471,-0.0002496066411101931,-0.7650224905858968,0.8105131423080204,-0.030938682821892216
0.5028589455164547,0.25281210851090613,0.4999933231932875,0.9994549867911117,-0.02207407422652889,0.024526771670994037,-0.0009497877760626561,0.046903586516933125,0.04497864593400552,-0.00042348285274238515,-0.7661871608083131,0.7908693241479191,-0.029715615614747823
0.5033533302001434,0.2532847592236802,0.49998794861166196,0.9992615231967584,-0.025868731440264556,0.028390806216158332,-0.0010858704169520318,0.052099702058442415,0.04967511704671422,-0.0006640701378436021,-0.7526938514008027,0.7555687480050229,-0.02790072572878185
0.5039034051819662,0.25380805688100216,0.4999798041831645,0.9990482057474828,-0.02956546559707811,0.03204845677773536,-0.001209237333576252,0.05803485802334607,0.0551047624774218,-0.000978747763856737,-0.7273055848544872,0.7085130576638115,-0.025664806307214773
0.5045163401280757,0.2543892175030483,0.49996812368193333,0.9988219532107776,-0.033110770690159226,0.03544919806682458,-0.001317954828528779,0.06466325245370283,0.06124270528528986,-0.0013721282409529117,-0.6923951589816149,0.652968074127224,-0.02314856969337101
0.5051988023859902,0.2550351603333496,0.4999521091785732,0.9985899239307573,-0.03646220947318332,0.03855749758624822,-0.001410845202205603,0.07193071830360835,0.06805483282464359,-0.0018459243837894415,-0.6499962322175673,0.591647725869946,-0.02046684236738838
0.5059568872601808,0.25575242587237573,0.4999309598605204,0.9983590687453824,-0.039586818593410934,0.041350228318306,-0.0014873686594955547,0.07977742328638139,0.07549982085880788,-0.0023990137999394773,-0.6018477773883925,0.526788653772694,-0.01771229869778392
0.5067960728249786,0.25654711258814605,0.4999038993950282,0.9981357988983879,-0.0424597188109015,0.04381443178698089,-0.0015475151566819037,0.08814008865290185,0.08353085160520332,-0.003027658319179025,-0.5494327736125064,0.46021629974705897,-0.01495875956777262
0.5077211947952757,0.2574248294448052,0.49987020055420084,0.9979257596770774,-0.04506290556517332,0.04594539353848197,-0.001591705860518409,0.09695379212903177,0.09209706540138375,-0.0037258252237481137,-0.49401195695831135,0.3934034699715597,-0.012264090834216848
0.5087364375954218,0.25839066176624,0.4998292062857701,0.9977336951389192,-0.04738419842622578,0.04774499599385308,-0.001620704010395026,0.10615341378957316,0.10114478156511986,-0.004485570916251663,-0.4366533104748571,0.3275218221624039,-0.009672718075869793
0.5098453383251673,0.25944914829035626,0.49978034678146666,0.997563387335491,-0.04941633060687785,0.04922031635765038,-0.0016355350028958546,0.11567477780725631,0.11061852061606747,-0.005297452881413388,-0.37825787307330405,0.26348718272054183,-0.007217810969482974
0.5110508008202576,0.2606042675724128,0.49972315238332665,0.9974176536092153,-0.05115616161728323,0.050382440073200044,-0.0016374155075550307,0.12545553692506095,0.12046185626163856,-0.006150946370162229,-0.3195822340208456,0.2019991282806427,-0.004923160658640756
0.5123551174507076,0.26185943216799784,0.4996572624229657,0.9972983869139797,-0.052603997992241115,0.05124546296856654,-0.0016276913539826315,0.1354358419391893,0.13061812321746105,-0.007034838344584511,-0.26125823621198024,0.14357561841185446,-0.00280479770196949
0.5137599966872431,0.2632174892620027,0.49958243024112103,0.9972066260915434,-0.05376300868075417,0.05182565781337406,-0.0016077838551957007,0.14555883144522916,0.14103100196688395,-0.00793759555410117,-0.2038101388796611,0.08858302665812132,-0.0008723739647089977
0.5152665948033177,0.2646807266150731,0.4994985247360269,0.9971426452597852,-0.054638722875543416,0.052140783180335694,-0.0015791441317022138,0.15577097404541246,0.15164500042214524,-0.00884768947246829,-0.14766953721273457,0.03726214673554703,0.0008696595240216983
0.5168755503716883,0.2662508828768314,0.49940552886394013,0.9971060535995675,-0.055238599595010096,0.052209515200402366,-0.0015432149616651462,0.1660222892094967,0.1624058481260628,-0.009753880272394952,-0.09318839644702434,-0.010249306581069262,0.002421044121908433
0.5185870204643265,0.2679291614673188,0.499303535555251,0.9970958988248028,-0.055571659426947966,0.052050984760359034,-0.0015013996040285178,0.17626647062404155,0.17326081783228933,-0.01064544950687277,-0.04065029808007896,-0.053897446699832575,0.0037848643547771614
0.5204007176753778,0.26971624735564514,0.49919274151305415,0.9971107693578569,-0.055648169881425,0.051684404676528566,-0.0014550369973231247,0.18646093044912657,0.18415898516914428,-0.011512391025786987,0.009719785575902043,-0.09369570131178204,0.004966824687853139
