x,y,z,_,_,_,_,_,_,_,_,_
0.09217446953803236,0.09451620397691898,0.3997835836689188,0.009184542920677113,0.007214077059928308,-0.0006689584278565441,-0.70369289186006,0.7029675248731324,-0.008656583237585183,0.7347635628507256,0.5771261352445897,-0.053516704588832745
0.09170301423412024,0.0949845759143809,0.3997835836688988,0.009188337646469591,0.007218733175441644,-0.000669337802222232,-0.7037248748327677,0.7029327578177277,-0.008656583238385028,0.7350671409952478,0.5774986245079179,-0.053547054507058524
0.09106520654157803,0.09561651169715756,0.39978358366887723,0.009195464224994294,0.007227380579233648,-0.0006700443786537812,-0.703971254823514,0.7030537410370346,-0.008656583239248871,0.7356372674279893,0.578190416853062,-0.053603580563818344
0.09027752799197607,0.09639479506629003,0.39978358366884115,0.009201216213066814,0.007235709660134838,-0.0006706975443064077,-0.7040690769101444,0.7029512046314518,-0.008656583240692517,0.736097426617801,0.578856743359235,-0.053655833762084035
0.08949886393334365,0.09715966045427654,0.3997835836688297,0.009204805687343571,0.007243019661141888,-0.0006712351453266334,-0.703980477017602,0.7025707985838379,-0.008656583241149762,0.7363845846848367,0.5794415434616289,-0.05369884179848989
0.08873888440871629,0.09790175583073167,0.399783583668832,0.009200913026224652,0.007243920318824306,-0.0006711950819803849,-0.7034703734176959,0.7016862213831384,-0.008656583241058814,0.7360731718061603,0.5795135960548914,-0.05369563673166757
0.0879841547426227,0.0986344264883229,0.3997835836688313,0.009196570466606288,0.007245396779679511,-0.0006711790548135661,-0.7028629006506374,0.700622048314847,-0.008656583241084355,0.7357257670564944,0.579631712899623,-0.05369435455683419
0.08725261424543951,0.09933968402536274,0.3997835836688569,0.00918438290390992,0.007240041148703217,-0.000670550569510508,-0.7017417570708125,0.6989629594123452,-0.008656583240061046,0.7347507619391753,0.5792032623525554,-0.05364407578000495
0.08652977452457002,0.10003196242538684,0.39978358366888955,0.009168800634803654,0.007232320138517002,-0.0006696933419825116,-0.7004323866528515,0.6970350375070633,-0.008656583238755101,0.7335041802662994,0.5785855814492544,-0.05357549764313903
0.08581566503029242,0.10071118185148878,0.3997835836689299,0.009149935419170122,0.007222333877106347,-0.0006686162565186664,-0.6989356074670042,0.6948400393639714,-0.008656583237141913,0.7319949628302498,0.5777866804292047,-0.05348933088865559
0.08511027926568258,0.10137730364445804,0.39978358366897804,0.009127828550141602,0.007210108940149165,-0.0006673219553001577,-0.6972523790941789,0.6923799891677603,-0.008656583235215195,0.7302264130820906,0.5768086853468741,-0.053385786890844604
0.08441359983414705,0.10203030618388825,0.3997835836690341,0.0091025096520854,0.007195659525529551,-0.0006658120370804658,-0.6953837817467792,0.6896571567733545,-0.008656583232974462,0.7282009009714727,0.5756527320331588,-0.05326499354986325
0.08372560329459959,0.10267017989893835,0.39978358366909794,0.009074008588565765,0.007178999212770943,-0.0006640880696727674,-0.6933310114284729,0.6866740509788051,-0.008656583230421046,0.7259208155837923,0.5743199068501025,-0.053127076290647085
0.08304626100112669,0.10329692621552305,0.3997835836691695,0.009042357704985727,0.0071601428872412306,-0.0006621517624645747,-0.6910953782175224,0.683433415678296,-0.008656583227556955,0.7233887445515728,0.5728114006273198,-0.05297217186406752
0.08237553922691199,0.1039105572698296,0.3997835836692488,0.009007592163226056,0.007139106902875413,-0.0006600049843973611,-0.6886783050408368,0.6799382263691567,-0.008656583224384519,0.7206075008255837,0.5711285216798098,-0.052800429785300654
0.08171339919877033,0.10451109574690244,0.3997835836693358,0.008969749934938157,0.007115909013066848,-0.0006576497594841237,-0.6860813264164077,0.676191686482202,-0.00865658322090632,0.7175801221382719,0.5692726902792561,-0.052612011975232645
