x,y
65.85599899291992,26.138000011444092
57.996192932128906,28.405014991760254
52.321720123291016,34.3474063873291
47.1303768157959,29.159223556518555
39.49792671203613,26.201956272125244
31.39784812927246,27.528968334197998
25.025007724761963,32.67764377593994
22.129165410995483,40.353654861450195
22.846843242645264,48.56193733215332
26.432353973388672,56.00115966796875
31.7556791305542,62.343441009521484
37.94398307800293,67.85740661621094
44.572336196899414,72.83818435668945
51.43478965759277,77.49274444580078
58.32333755493164,73.61523818969727
65.00033950805664,68.69950485229492
71.2825698852539,63.29170227050781
76.78729248046875,57.1035041809082
80.73966979980469,49.84704399108887
81.98299026489258,41.70008659362793
79.71511840820312,33.809688568115234
73.81918716430664,28.122450828552246
