x,y,z
3.061616997868383e-17,-0.5,1.0
0.03171195982828228,-0.4989933382359422,1.0
0.06329622678687465,-0.49597740641539767,1.0
0.09462562218020511,-0.49096434863135335,1.0
0.1255739935905396,-0.4839743506981781,1.0
0.15601672284924356,-0.4750355588704727,1.0
0.18583122783016376,-0.4641839665080363,1.0
0.21489745604458588,-0.4514632691433106,1.0
0.24309836805023433,-0.43692468853489247,1.0
0.27032040872779883,-0.42062676641559055,1.0
0.29645396452732026,-0.40263512876552926,1.0
0.3213938048432697,-0.383022221559489,1.0
0.345039505741056,-0.36186701905253504,1.0
0.36729585432876666,-0.33925470577856603,1.0
0.3880732321458784,-0.3152763335422612,1.0
0.40728797602516786,-0.2900284547855991,1.0
0.4248627149747572,-0.2636127338052512,1.0
0.44072668172379104,-0.23613553738634133,1.0
0.4548159976772592,-0.2077075065009432,1.0
0.4670739301325534,-0.17844311079593592,1.0
0.47745112072203694,-0.14846018766413743,1.0
0.4859057841617708,-0.11787946775471361,1.0
0.492403876506104,-0.08682408883346518,1.0
0.49691923223062706,-0.05541909995050552,1.0
0.499433669591504,-0.02379095791187106,1.0
0.49993706383693753,0.007932981917404045,1.0
0.4984273879759712,0.039624978428394304,1.0
0.49491072094046634,0.07115741913664264,1.0
0.48940122310738937,0.1024033340325954,1.0
0.481921079279971,0.13323690684501754,1.0
0.47250040935733423,0.16353398165871086,1.0
0.4611771470522907,0.19317256284656437,1.0
0.44799688714566793,0.2220333063028871,1.0
0.43301270189221924,0.2500000000000001,1.0
0.41628492731738564,0.27696003193305513,1.0
0.397880920265416,0.3028048435688334,1.0
0.37787478717712913,0.32743036697264255,1.0
0.35634708568943135,0.3507374438531607,1.0
0.3333845002581458,0.37263222483787733,1.0
0.30907949311030253,0.3930265473713938,1.0
0.28352993193138537,0.4118382907149164,1.0
0.2568386957867031,0.4289917066174886,1.0
0.22911326086370523,0.44441772432746174,1.0
0.20046526770330678,0.45805422871603485,1.0
0.1710100716628344,0.46984631039295416,1.0
0.1408662784207148,0.4797464868072487,1.0
0.11015526639327038,0.4877148934427035,1.0
0.0790006979866749,0.4937194443381972,1.0
0.04752802165209118,0.4977359612865423,1.0
0.015863966749033797,0.49974827119159254,1.0
-0.01586396674903396,0.49974827119159254,1.0
-0.04752802165209135,0.4977359612865423,1.0
-0.07900069798667507,0.49371944433819714,1.0
-0.11015526639327032,0.4877148934427035,1.0
-0.14086627842071495,0.4797464868072487,1.0
-0.17101007166283436,0.4698463103929542,1.0
-0.20046526770330692,0.4580542287160348,1.0
-0.22911326086370518,0.44441772432746174,1.0
-0.25683869578670326,0.4289917066174885,1.0
-0.2835299319313853,0.4118382907149164,1.0
-0.30907949311030264,0.3930265473713937,1.0
-0.33338450025814576,0.3726322248378774,1.0
-0.35634708568943146,0.3507374438531606,1.0
-0.3778747871771291,0.3274303669726426,1.0
-0.3978809202654161,0.3028048435688333,1.0
-0.41628492731738564,0.2769600319330552,1.0
-0.43301270189221946,0.24999999999999978,1.0
-0.447996887145668,0.22203330630288695,1.0
-0.4611771470522907,0.1931725628465643,1.0
-0.47250040935733423,0.16353398165871091,1.0
-0.4819210792799711,0.1332369068450173,1.0
-0.48940122310738937,0.10240333403259524,1.0
-0.49491072094046634,0.07115741913664259,1.0
-0.49842738797597114,0.03962497842839436,1.0
-0.49993706383693753,0.007932981917403773,1.0
-0.499433669591504,-0.023790957911871222,1.0
-0.49691923223062706,-0.05541909995050546,1.0
-0.49240387650610407,-0.08682408883346501,1.0
-0.4859057841617708,-0.11787946775471377,1.0
-0.47745112072203694,-0.1484601876641375,1.0
-0.4670739301325534,-0.17844311079593586,1.0
-0.45481599767725905,-0.20770750650094344,1.0
-0.4407266817237909,-0.23613553738634147,1.0
-0.4248627149747572,-0.26361273380525124,1.0
-0.4072879760251679,-0.290028454785599,1.0
-0.38807323214587824,-0.3152763335422614,1.0
-0.36729585432876655,-0.33925470577856615,1.0
-0.345039505741056,-0.3618670190525351,1.0
-0.32139380484326974,-0.38302222155948895,1.0
-0.2964539645273201,-0.4026351287655294,1.0
-0.2703204087277987,-0.42062676641559066,1.0
-0.24309836805023438,-0.43692468853489247,1.0
-0.21489745604458593,-0.45146326914331053,1.0
-0.1858312278301636,-0.4641839665080364,1.0
-0.1560167228492435,-0.4750355588704727,1.0
-0.12557399359053967,-0.4839743506981781,1.0
-0.09462562218020484,-0.4909643486313534,1.0
-0.0632962267868745,-0.49597740641539767,1.0
-0.031711959828282225,-0.4989933382359422,1.0
-9.184850993605148e-17,-0.5,1.0
