x,y,z,u,v,w,phi,theta,psi,p,q,r
0.08748774750421535,0.13312212993907455,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0870902684792902,0.13315368521032134,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08659316339812353,0.13318904723210745,0.0,-3.6769260269455923e-17,2.450360491294151e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0859963834416658,0.13322658340458932,0.0,-8.957385889695766e-17,5.236319766508517e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08529990590338231,0.13326464863932927,0.0,-1.2244028516085832e-16,5.685248399121115e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08460289930284075,0.1332912868104908,0.0,-1.2250821103719118e-16,3.673189488642375e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0839055498336255,0.13330645591098472,0.0,-1.2254659914494036e-16,1.6555768331607526e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08320804595997441,0.1333101309636229,0.0,-1.2255317922404627e-16,-3.6545612846683336e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08251057728145209,0.13330229607383107,0.0,-1.2252629759769018e-16,-2.388853224192489e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08181333453294982,0.13328293875301514,0.0,-1.2246328691178788e-16,-4.414821938624389e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0811165095846857,0.13325203970062066,0.0,-1.2236789516220256e-16,-6.4432394612389555e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0804202943068778,0.133209588698707,0.0,-1.222334866586306e-16,-8.474529584134056e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07972488397572433,0.1331555573641058,0.0,-1.2206978706341291e-16,-1.0508504508077675e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0790304738674236,0.13308994456149034,0.0,-1.2187064843336948e-16,-1.254276731444589e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07833725698752038,0.13301274461422696,0.0,-1.2163774697464467e-16,-1.4577473620607398e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07764543088286638,0.1329239563869889,0.0,-1.2136885291594986e-16,-1.6612099217384307e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07695519310031333,0.13282357760912272,0.0,-1.2106773133035956e-16,-1.8646327060918156e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07626673891605955,0.13271161622791552,0.0,-1.2073437524831428e-16,-2.0678276934064512e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0755802658769567,0.13258809267924854,0.0,-1.203673803958904e-16,-2.2706005480956154e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07489596925920307,0.1324530353462901,0.0,-1.1996393281946834e-16,-2.4728677456468743e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07421404660965038,0.13230646807090168,0.0,-1.1952826499662948e-16,-2.6746415398762173e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07353469206917015,0.13214842718353875,0.0,-1.1905690114292468e-16,-2.8757847654329337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07285810091396065,0.1319789433380231,0.0,-1.1855488364391436e-16,-3.076290502995856e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07218446728489343,0.13179806762405777,0.0,-1.1801964841050842e-16,-3.2758806917573406e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07151397964620632,0.131605854537326,0.0,-1.1744603556535873e-16,-3.4745232625711826e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07084683554475103,0.13140234267893675,0.0,-1.1684410666604772e-16,-3.6723968669063594e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07018322230943871,0.13118759903316732,0.0,-1.1620942862003916e-16,-3.869098609348543e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06952332499852701,0.13096169058429505,0.0,-1.155369495455114e-16,-4.0646111694658085e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06886733775288745,0.13072466842202296,0.0,-1.1483896596116703e-16,-4.259176965408296e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06821543995414402,0.1304766188311828,0.0,-1.1410461130514104e-16,-4.452233390076242e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06756781666055436,0.13021760993137868,0.0,-1.1333870917990868e-16,-4.644042966912287e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06692465293037614,0.1299477200601552,0.0,-1.1254328241821938e-16,-4.834480267475428e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0662861236039264,0.12966703777299768,0.0,-1.1171421325883933e-16,-5.0233293767014223e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06565241033348258,0.1293756448134309,0.0,-1.108552734890831e-16,-5.210733608250947e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06502368795936175,0.1290736320075936,0.0,-1.099658984421502e-16,-5.39653030932884e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0644001301865542,0.12876109358760474,0.0,-1.0904618856659795e-16,-5.580660757465497e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0637819084493968,0.12843812605623667,0.0,-1.0809383922789863e-16,-5.763012785956538e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0631691987235333,0.12810482364560838,0.0,-1.0711452354892944e-16,-5.943763531816579e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625621633606867,0.12776129194110608,0.0,-1.0610340071886807e-16,-6.122608966626923e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06196097379519384,0.12740762744550224,0.0,-1.0506659631358938e-16,-6.299798179998706e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06136579010812421,0.12704394596212365,0.0,-1.0399665200783828e-16,-6.474842031024651e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060776780327834456,0.12667034739972294,0.0,-1.0290268238975954e-16,-6.648217427357973e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060194098858760425,0.12628695323826067,0.0,-1.0177565553017121e-16,-6.819326673213725e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05961791145860528,0.12589386452181617,0.0,-1.0062715593844581e-16,-6.988807386778108e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.059048365719844446,0.12549121294829058,0.0,-9.944503370418703e-17,-7.155779142027391e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.058485623994200917,0.12507910296774344,0.0,-9.824058795677486e-17,-7.32102565978364e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0579298338741501,0.12465766741340265,0.0,-9.700497590005141e-17,-7.483783303928976e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0573811503317912,0.12422701868261485,0.0,-9.574534324958779e-17,-7.644650033397816e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.056839721527263014,0.12378728279664755,0.0,-9.445863529037504e-17,-7.80323992314584e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05630569618836771,0.1233385846414415,0.0,-9.314604554207265e-17,-7.95961981367269e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05577922020459063,0.1228810513735909,0.0,-9.18079010464391e-17,-8.113753574352208e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05526043776242697,0.1224148112850167,0.0,-9.044750877622467e-17,-8.265717594764979e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05474948283043137,0.12194000629156067,0.0,-8.906541843007067e-17,-8.415284500491488e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05424648029454458,0.12145678057971802,0.0,-8.766073600600539e-17,-8.56228425031729e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05375155787902417,0.12096528060663747,0.0,-8.623085263073877e-17,-8.706546008823292e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05326484784943466,0.12046564715283403,0.0,-8.47725158736955e-17,-8.848063404036655e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05278649609526139,0.11995800510424845,0.0,-8.329567847127251e-17,-8.987666328481173e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.052316624096464905,0.11944250659466311,0.0,-8.179582611618769e-17,-9.124487251308121e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05185535446833248,0.11891929808122668,0.0,-8.026597834490753e-17,-9.258262441454758e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051402838209319734,0.11838850217922646,0.0,-7.871219416173159e-17,-9.389950426331333e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05095921666760508,0.11785025285721704,0.0,-7.713726571726025e-17,-9.519470591837946e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.050524616432119356,0.11730469316636694,0.0,-7.553905098058687e-17,-9.646400220372737e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05009916920076372,0.11675196502251792,0.0,-7.391955515890276e-17,-9.770856309208277e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0496829981564888,0.1161922228301058,0.0,-7.22783155313251e-17,-9.892579944032664e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0492762225086017,0.11562561531693274,0.0,-7.06153778911066e-17,-1.001161442105936e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04887896657537979,0.1150522934814544,0.0,-6.893016009878397e-17,-1.0127887190334456e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04849135410743708,0.11447241059277984,0.0,-6.722627339528639e-17,-1.0241636687031437e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04811349352847667,0.11388612786730534,0.0,-6.550194910675452e-17,-1.0352447097442877e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047745498938835354,0.11329360198012017,0.0,-6.375404179809516e-17,-1.0460158134071849e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0473874997657608,0.11269498620033346,0.0,-6.199153576009558e-17,-1.0565751210743619e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047039586267728375,0.11209045423293548,0.0,-6.020869264684841e-17,-1.0667901558107045e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0467018680037679,0.11148016956497597,0.0,-5.84028258225081e-17,-1.076684184637234e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.046374472130473604,0.11086428433023728,0.0,-5.658532332096787e-17,-1.0863950198227207e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04605747528240004,0.1102429847223038,0.0,-5.4749426928712874e-17,-1.0957322493735347e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045750973962319606,0.10961644104018566,0.0,-5.289054924297756e-17,-1.1047086405256976e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04545509532682651,0.1089848122296256,0.0,-5.1021954436752143e-17,-1.1135207522723542e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04516990125122775,0.1083482878901882,0.0,-4.913752737829616e-17,-1.121947797396047e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04489547745269177,0.1077070474034975,0.0,-4.7231339062017e-17,-1.1299860185811899e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044631944843515736,0.10706125425660318,0.0,-4.5316963769387736e-17,-1.1378659415062125e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044379352242749213,0.10641110599635695,0.0,-4.338782793124876e-17,-1.145328010386882e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04413777969092695,0.10575678427503626,0.0,-4.1441094412851434e-17,-1.15242804401438e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.043907328232128284,0.10509846279763146,0.0,-3.948866447594913e-17,-1.1593589628527864e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0436880273848483,0.10443634365230119,0.0,-3.7520702759688314e-17,-1.1658039650438453e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04347996627223563,0.10377060849132289,0.0,-3.5540488819926947e-17,-1.171970349830521e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04328321301389431,0.10310144237295421,0.0,-3.355592280260485e-17,-1.1779070860555075e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04309778634271545,0.10242904965600733,0.0,-3.155736492398726e-17,-1.183334650408586e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04292377197586749,0.1017536142634131,0.0,-2.9248146701595e-17,-9.974599958803041e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04271479011327348,0.10112290393218092,0.0,-2.7741533276195198e-17,-6.719159470824936e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04243561326936531,0.10057126570199659,0.0,-2.7846466274427386e-17,-4.531863385673268e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04208488245804228,0.10009776292830455,0.0,-2.937336710550377e-17,-3.299045546502122e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041661206904055156,0.0997014975676581,0.0,-3.5342986158400624e-17,-2.7467694647769796e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04116324010989733,0.09938148529177887,0.0,-4.872664899506923e-17,-2.5681971611872513e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04058965374328995,0.09913672247183386,0.0,-7.223330023248611e-17,-2.4504162507495183e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.039939096197756076,0.09896621115562387,0.0,-1.0648355614376268e-16,-2.5194187345507937e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03925668592537111,0.09882134005837614,0.0,-1.2016055862959952e-16,-2.6392139547041725e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038576377142770894,0.09866690269806713,0.0,-1.197801288570264e-16,-2.8076116739978754e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03789830211551998,0.09850293881113253,0.0,-1.1936489557312706e-16,-2.975449633751941e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037222602759460106,0.09832944272093867,0.0,-1.1893746727474405e-16,-3.143204840610442e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03654941020482906,0.09814646211120837,0.0,-1.1848677940772034e-16,-3.3101104445029354e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035878853878874524,0.0979540458009912,0.0,-1.1800688554871726e-16,-3.476193550878831e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03521107002080459,0.09775221990280204,0.0,-1.1750484032078943e-16,-3.64177728272001e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03454619203151051,0.09754101961176967,0.0,-1.169835900461985e-16,-3.80672702485976e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03388434649992315,0.09732049488227036,0.0,-1.1643434403541957e-16,-3.970782321637877e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
