x,y,z,u,v,w,phi,theta,psi,p,q,r
0.12499999999999999,0.06250000000000001,0.0,-0.007861801363618637,0.007861645867554973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12421381986363812,0.06328616458675551,0.0,-0.007861490371491309,0.007860401935950723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12342767082648899,0.06407220478035058,0.0,-0.007860868399538062,0.007857914269567279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12264158398653519,0.06485799620730731,0.0,-0.007859935472363383,0.00785418326202228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12185559043929885,0.06564341453350954,0.0,-0.007858691626870806,0.007849209503665577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12106972127661177,0.0664283354838761,0.0,-0.007857136912263613,0.007842993781484314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1202840075853854,0.06721263486202453,0.0,-0.007855271390043023,0.007835537078979687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1194984804463811,0.0679961885699225,0.0,-0.00785309513400223,0.007826840576008187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11871317093298088,0.06877887262752332,0.0,-0.00785060823023001,0.00781690564860077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11792811010995788,0.06956056319238339,0.0,-0.007847810777101144,0.007805733868739423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11714332903224776,0.07034113657925734,0.0,-0.007844702885275584,0.0077933270041113945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1163588587437202,0.07112046927966847,0.0,-0.007841284677693183,0.007779687017828579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11557473027595089,0.07189843798145133,0.0,-0.007837556289569114,0.0077648160681169365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11479097464699398,0.07267491958826303,0.0,-0.00783351786838915,0.007748716507975928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11400762286015506,0.07344979123906062,0.0,-0.007829169573901618,0.007731390884804373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1132247059027649,0.07422293032754106,0.0,-0.007824511578114618,0.007712841939999243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11244225474495344,0.07499421452154098,0.0,-0.007819544065285344,0.007693072608520729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1116603003384249,0.07576352178239305,0.0,-0.007814267231916056,0.007672086018428864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1108788736152333,0.07653073038423594,0.0,-0.007808681286744085,0.007649885490386699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11009800548655889,0.07729571893327461,0.0,-0.007802786450735316,0.007626474537137523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10931772684148536,0.07805836638698836,0.0,-0.00779658295707239,0.007601856862945872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10853806854577812,0.07881855207328295,0.0,-0.007790071051150399,0.007576036363015487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10775906144066308,0.0795761557095845,0.0,-0.007783250990563151,0.007549017122868984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10698073634160676,0.0803310574218714,0.0,-0.007776123045094008,0.007520803417703642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10620312403709736,0.08108313776364176,0.0,-0.007768687496705479,0.007491399711714447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10542625528742681,0.0818322777348132,0.0,-0.007760944639528533,0.007460810657387434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10465016082347396,0.08257835880055195,0.0,-0.00775289477985025,0.007429041094764305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10387487134548894,0.08332126291002838,0.0,-0.007744538236101467,0.007396096050675399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10310041752187879,0.08406087251509592,0.0,-0.007735875338845399,0.00736198073794575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10232682998799425,0.0847970705888905,0.0,-0.007726906430763347,0.007326700554569215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10155413934491792,0.08552974064434742,0.0,-0.007717631866641511,0.007290261082853883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10078237615825376,0.0862587667526328,0.0,-0.007708052013356975,0.0072526680885412476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10001157095691807,0.08698403356148693,0.0,-0.0076981672498646625,0.00721392751989125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0992417542319316,0.08770542631347605,0.0,-0.007687977967177767,0.007174045506740945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09847295643521382,0.08842283086415015,0.0,-0.007677484568358595,0.007133028359538329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09770520797837796,0.08913613370010398,0.0,-0.007666687468498717,0.007090882568339535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09693853923152809,0.08984522195693793,0.0,-0.00765558709470246,0.007047614801783397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09617298052205785,0.09054998343711627,0.0,-0.007644183886070799,0.0070032319060378545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09540856213345077,0.09125030662772006,0.0,-0.007632478293685685,0.006957740903714704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0946453143040822,0.09194608071809153,0.0,-0.0076204707805885286,0.006911148992758409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09388326722602335,0.09263719561736737,0.0,-0.007608161821765491,0.006863463545308951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0931224510438468,0.09332354197189827,0.0,-0.007595551904126252,0.006814692106533737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09236289585343417,0.09400501118255164,0.0,-0.007582641526486106,0.006764842393434806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09160463170078556,0.09468149542189512,0.0,-0.0075694311995452845,0.006713922293626606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09084768858083103,0.09535288765125778,0.0,-0.007555921445868835,0.006661939864087835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
