x,y,z,u,v,w,phi,theta,psi,p,q,r
0.0,0.45,0.0,0.02830244992230488,-8.900406592515786e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002830244992230488,0.4499910995934075,0.0,0.028301330352029884,-0.00026700867701012765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005660378027433476,0.4499643987257065,0.0,0.028299091255767142,-0.00044500272593561707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00849028715301019,0.4499198984531129,0.0,0.028295732722089413,-0.0006229791717266009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011319860425219132,0.44985760053594026,0.0,0.028291254883851397,-0.000800930974105829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014148985913604271,0.4497775074385297,0.0,0.028285657918184597,-0.0009788510937663863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01697755170542273,0.44967962232915304,0.0,0.028278942046490174,-0.0011567324926609057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01980544591007175,0.44956394907988695,0.0,0.028271107534430344,-0.0013345681342669113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022632556663514783,0.44943049226646026,0.0,0.028262154691917722,-0.0015123509838782523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025458772132706555,0.44927925716807243,0.0,0.028252083873103184,-0.0016900740088743316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028283980520016874,0.449110249767185,0.0,0.02824089547636171,-0.001867730178998217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031108070067653044,0.4489234767492852,0.0,0.028228589944276697,-0.0020453124666425238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033930929062080714,0.4487189455026209,0.0,0.028215167763622692,-0.0022228138471208636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03675244583844298,0.44849666411790884,0.0,0.02820062946534578,-0.002400227298945401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03957250878497756,0.4482566413880143,0.0,0.02818497562454253,-0.002577545804107184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
