x,y,z,u,v,w,phi,theta,psi,p,q,r
0.12499999999999999,0.06250000000000001,0.5,-0.4072653541711671,0.38519859392240535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08427346458288328,0.10101985939224055,0.5,-0.3631318336736435,0.2227530353309974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04796028121551892,0.12329516292534029,0.5,-0.27964734442663125,-0.03363170638101265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019995546772855796,0.11993199228723903,0.5,-0.16585872623536382,-0.27583331914176196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034096741493194116,0.09234866037306283,0.5,-0.03409674149319411,-0.4017107855710437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.052177581815958454,0.5,0.10136015425521915,-0.35817918876935545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010136015425521915,0.016359662939022905,0.5,0.22583310452523866,-0.16359662939022904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03271932587804578,0.0,0.5,0.32583353375828555,0.09997773386427898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06530267925387434,0.009997773386427898,0.5,0.3905248437804257,0.3213895890501374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10435516363191691,0.042136732291441645,0.5,0.41289672736166183,0.4072653541711671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1456448363680831,0.08286326770855836,0.5,0.3905248437804257,0.32138958905013754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18469732074612566,0.11500222661357211,0.5,0.32583353375828544,0.09997773386427891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2172806741219542,0.125,0.5,0.22583310452523847,-0.1635966293902287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23986398457447805,0.10864033706097713,0.5,0.10136015425521949,-0.35817918876935556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.07282241818404157,0.5,-0.034096741493193916,-0.4017107855710437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2465903258506806,0.0326513396269372,0.5,-0.1658587262353639,-0.27583331914176223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23000445322714422,0.005068007712760971,0.5,-0.2796473444266315,-0.03363170638101265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20203971878448107,0.0017048370746597058,0.5,-0.3631318336736436,0.22275303533099747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1657265354171167,0.023980140607759454,0.5,-0.4072653541711668,0.38519859392240535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12500000000000003,0.062499999999999986,0.5,-0.4072653541711668,0.38519859392240535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
